gyroX, -131.59, gyroY, 798.40, gyroZ, 136.72, accX, -1.66, accY, -1.99, accZ, 0.31, Pitch, 5.41, Roll, -13.12, Yaw, 30.69
gyroX, 120.85, gyroY, -8.24, gyroZ, 140.01, accX, -0.54, accY, 0.13, accZ, 1.44, Pitch, 29.33, Roll, 159.93, Yaw, 163.16
gyroX, -32.59, gyroY, 294.86, gyroZ, 78.00, accX, -0.27, accY, -0.30, accZ, 0.92, Pitch, 16.76, Roll, 143.26, Yaw, 164.21
gyroX, 91.43, gyroY, 401.49, gyroZ, 66.10, accX, -0.31, accY, -0.05, accZ, 0.44, Pitch, -54.54, Roll, 15.20, Yaw, -3.71
gyroX, 87.77, gyroY, 301.03, gyroZ, 92.47, accX, -0.13, accY, -0.07, accZ, 0.63, Pitch, 28.02, Roll, 22.13, Yaw, 44.52
gyroX, 111.21, gyroY, 94.67, gyroZ, 61.28, accX, 0.08, accY, -0.24, accZ, 0.81, Pitch, 34.82, Roll, 98.77, Yaw, 108.42
gyroX, -134.77, gyroY, -129.58, gyroZ, 71.41, accX, 0.35, accY, -1.05, accZ, 1.14, Pitch, 5.06, Roll, 42.50, Yaw, 82.48
gyroX, -352.72, gyroY, -207.03, gyroZ, 100.40, accX, 0.85, accY, -3.24, accZ, 1.09, Pitch, -0.24, Roll, -145.02, Yaw, 152.16
gyroX, 115.91, gyroY, -871.40, gyroZ, -218.26, accX, 0.52, accY, -1.66, accZ, 0.30, Pitch, -52.16, Roll, -127.28, Yaw, 112.93
gyroX, -61.58, gyroY, -2.69, gyroZ, -159.73, accX, -0.03, accY, -2.24, accZ, 0.40, Pitch, -15.51, Roll, -166.73, Yaw, -156.37
gyroX, 91.92, gyroY, 1984.31, gyroZ, -89.72, accX, -0.34, accY, -1.07, accZ, -5.06, Pitch, 22.91, Roll, 178.27, Yaw, -164.03
gyroX, -4.58, gyroY, 248.11, gyroZ, -56.88, accX, 0.91, accY, -0.72, accZ, -0.20, Pitch, -61.91, Roll, -75.14, Yaw, 57.77
gyroX, -87.28, gyroY, -746.77, gyroZ, -187.56, accX, -0.59, accY, -0.31, accZ, 1.18, Pitch, -6.75, Roll, 164.39, Yaw, -176.31
gyroX, 27.77, gyroY, -960.45, gyroZ, -226.99, accX, 0.16, accY, -0.19, accZ, 0.57, Pitch, -48.92, Roll, 149.60, Yaw, -159.31
gyroX, -49.80, gyroY, -568.85, gyroZ, -149.96, accX, -0.05, accY, -0.01, accZ, 0.62, Pitch, 40.48, Roll, 9.22, Yaw, 34.43
gyroX, 17.09, gyroY, -239.01, gyroZ, -50.96, accX, -0.34, accY, -0.01, accZ, 0.54, Pitch, -22.82, Roll, 4.81, Yaw, 2.90
gyroX, 36.01, gyroY, -235.29, gyroZ, -64.27, accX, -0.33, accY, 0.00, accZ, 0.14, Pitch, -49.40, Roll, 121.76, Yaw, -117.98
gyroX, 114.93, gyroY, -119.08, gyroZ, -2.26, accX, -1.12, accY, -0.40, accZ, -0.07, Pitch, 23.24, Roll, -177.85, Yaw, -131.69
gyroX, -1380.62, gyroY, -1944.82, gyroZ, -255.19, accX, -1.71, accY, -6.76, accZ, -5.94, Pitch, 12.13, Roll, -3.86, Yaw, 125.14
gyroX, 286.25, gyroY, 462.71, gyroZ, 171.87, accX, -3.16, accY, -0.02, accZ, -1.65, Pitch, 21.17, Roll, 161.27, Yaw, -126.84
