gyroX, -91.43, gyroY, 29.42, gyroZ, -18.43, accX, 0.80, accY, -1.32, accZ, 0.82, Pitch, -5.22, Roll, -70.60, Yaw, -58.29
gyroX, 9.52, gyroY, -120.24, gyroZ, 80.26, accX, -0.20, accY, -0.58, accZ, -1.01, Pitch, 7.49, Roll, -66.19, Yaw, -40.95
gyroX, 1.83, gyroY, 177.73, gyroZ, 3.17, accX, -0.55, accY, -1.19, accZ, 0.60, Pitch, 35.05, Roll, -62.44, Yaw, -81.81
gyroX, -108.58, gyroY, 168.15, gyroZ, -14.95, accX, -0.48, accY, -1.08, accZ, 0.12, Pitch, 17.95, Roll, -129.18, Yaw, -148.50
gyroX, -16.66, gyroY, -26.00, gyroZ, -5.00, accX, -0.26, accY, -0.97, accZ, -0.20, Pitch, 18.87, Roll, -123.68, Yaw, -143.31
gyroX, 38.76, gyroY, 160.10, gyroZ, 38.64, accX, -0.38, accY, -0.97, accZ, -0.20, Pitch, 10.96, Roll, -115.66, Yaw, -177.96
gyroX, 25.76, gyroY, 104.55, gyroZ, 60.73, accX, -0.27, accY, -0.93, accZ, -0.05, Pitch, 11.65, Roll, -106.70, Yaw, 108.86
gyroX, -39.06, gyroY, -231.93, gyroZ, 27.10, accX, 0.10, accY, -0.63, accZ, -0.08, Pitch, 20.95, Roll, -82.07, Yaw, -166.29
gyroX, -14.53, gyroY, -239.38, gyroZ, 62.44, accX, 0.12, accY, -0.58, accZ, -0.12, Pitch, 11.88, Roll, -77.10, Yaw, -57.06
gyroX, 24.60, gyroY, -246.95, gyroZ, 38.09, accX, 0.19, accY, -0.77, accZ, -0.25, Pitch, -5.25, Roll, -73.35, Yaw, 42.08
gyroX, 15.14, gyroY, -274.90, gyroZ, 2.26, accX, 0.10, accY, -0.85, accZ, -0.08, Pitch, -9.72, Roll, -95.88, Yaw, 148.48
gyroX, 83.74, gyroY, -25.33, gyroZ, -13.37, accX, -0.16, accY, -0.98, accZ, -0.13, Pitch, -5.17, Roll, -71.83, Yaw, -169.26
gyroX, 72.88, gyroY, -33.39, gyroZ, -45.65, accX, -0.27, accY, -1.31, accZ, -0.01, Pitch, -17.09, Roll, -48.17, Yaw, -158.43
